"gene","drug","drug_concept_id","interaction_score","interaction_types","sources","key"
"CD4","PRILIXIMAB","ncit:C188634",3.26273740993034,"","ChEMBL","PRILIXIMAB|ncit:C188634"
"CD4","CEDELIZUMAB","chembl:CHEMBL2108266",3.26273740993034,"","ChEMBL","CEDELIZUMAB|chembl:CHEMBL2108266"
"CD4","CLENOLIXIMAB","ncit:C188527",3.26273740993034,"","ChEMBL","CLENOLIXIMAB|ncit:C188527"
"CD4","ANTISENSE OLIGONUCLEOTIDES","ncit:C1291",0.1977416612079,"","NCI","ANTISENSE OLIGONUCLEOTIDES|ncit:C1291"
"CD4","VRC-01LS","chembl:CHEMBL4298127",3.26273740993034,"","ChEMBL","VRC-01LS|chembl:CHEMBL4298127"
"CD4","TRX1","drugbank:DB05863",3.26273740993034,"","TdgClinicalTrial","TRX1|drugbank:DB05863"
"CD4","TRX-1","chembl:CHEMBL2109474",3.26273740993034,"","ChEMBL","TRX-1|chembl:CHEMBL2109474"
"CD4","SEMZUVOLIMAB","ncit:C188511",3.26273740993034,"","ChEMBL","SEMZUVOLIMAB|ncit:C188511"
"CD4","ANTIVIRAL AGENT","ncit:C281",0.725052757762299,"","NCI","ANTIVIRAL AGENT|ncit:C281"
"COL18A1","H2O2","iuphar.ligand:2448",0.286834058015855,"","NCI","H2O2|iuphar.ligand:2448"
"COL18A1","ASCORBIC ACID","rxcui:1151",0.286834058015855,"","NCI","ASCORBIC ACID|rxcui:1151"
"COL18A1","METHOTREXATE","rxcui:6851",0.0677971409855656,"","PharmGKB","METHOTREXATE|rxcui:6851"
"COL18A1","CELECOXIB","rxcui:140587",0.111308738931526,"","NCI","CELECOXIB|rxcui:140587"
"COL18A1","TAMOXIFEN","rxcui:10324",0.114733623206342,"","NCI","TAMOXIFEN|rxcui:10324"
"COL18A1","GLUTAMINE","rxcui:4885",0.932210688551527,"","NCI","GLUTAMINE|rxcui:4885"
"COL18A1","VITAMIN E","rxcui:11256",0.466105344275764,"","NCI","VITAMIN E|rxcui:11256"
"COL18A1","THROMBIN","rxcui:10528",0.310736896183842,"","NCI","THROMBIN|rxcui:10528"
"COL18A1","ASPIRIN","rxcui:1191",0.0837942191956429,"","NCI","ASPIRIN|rxcui:1191"
"COL18A1","HEPARAN SULFATE","rxcui:2603494",0.621473792367685,"","NCI","HEPARAN SULFATE|rxcui:2603494"
"COL18A1","OCRIPLASMIN","rxcui:29998",0.0981274409001608,"","ChEMBL","OCRIPLASMIN|rxcui:29998"
"COL18A1","CAMPTOTHECIN","ncit:C338",0.213076728811778,"","NCI","CAMPTOTHECIN|ncit:C338"
"COL18A1","RECOMBINANT COLONY STIMULATING FACTOR","ncit:C387",3.72884275420611,"","NCI","RECOMBINANT COLONY STIMULATING FACTOR|ncit:C387"
"COL18A1","COLLAGENASE CLOSTRIDIUM HISTOLYTICUM","rxcui:898492",0.133172955507361,"","ChEMBL","COLLAGENASE CLOSTRIDIUM HISTOLYTICUM|rxcui:898492"
"CRKL","JJKK 048","iuphar.ligand:9481",3.26273740993034,"","GuideToPharmacology","JJKK 048|iuphar.ligand:9481"
"CRKL","JZL184","iuphar.ligand:5207",3.26273740993034,"","GuideToPharmacology","JZL184|iuphar.ligand:5207"
"CRKL","ABX-1431","iuphar.ligand:10062",1.08757913664345,"","GuideToPharmacology","ABX-1431|iuphar.ligand:10062"
"CRKL","MAGLI 432","iuphar.ligand:12123",3.26273740993034,"","GuideToPharmacology","MAGLI 432|iuphar.ligand:12123"
"CRKL","DASATINIB ANHYDROUS","rxcui:1546019",0.0429307553938203,"","CIViC","DASATINIB ANHYDROUS|rxcui:1546019"
"CRKL","JZL195","iuphar.ligand:8606",1.08757913664345,"","GuideToPharmacology","JZL195|iuphar.ligand:8606"
"CRKL","KML29","iuphar.ligand:9482",3.26273740993034,"","GuideToPharmacology","KML29|iuphar.ligand:9482"
"CRKL","ABD-1970","iuphar.ligand:11816",3.26273740993034,"","GuideToPharmacology","ABD-1970|iuphar.ligand:11816"
"CRKL","MJN110","iuphar.ligand:10028",3.26273740993034,"","GuideToPharmacology","MJN110|iuphar.ligand:10028"
"CRKL","SA-57","iuphar.ligand:11815",1.63136870496517,"","GuideToPharmacology","SA-57|iuphar.ligand:11815"
"CRKL","CAY10499","iuphar.ligand:12994",1.63136870496517,"","GuideToPharmacology","CAY10499|iuphar.ligand:12994"
"CRKL","LEI-515","iuphar.ligand:13445",3.26273740993034,"","GuideToPharmacology","LEI-515|iuphar.ligand:13445"
"CRKL","COMPOUND 4F [PMID: 34328319]","iuphar.ligand:11733",3.26273740993034,"","GuideToPharmacology","COMPOUND 4F [PMID: 34328319]|iuphar.ligand:11733"
"CRKL","JNJ-42226314","iuphar.ligand:10661",3.26273740993034,"","GuideToPharmacology","JNJ-42226314|iuphar.ligand:10661"
"CRKL","GEFITINIB","rxcui:328134",0.0486975732825425,"","CIViC","GEFITINIB|rxcui:328134"
"CRKL","COMPOUND 36 [PMID: 32429662]","iuphar.ligand:11083",3.26273740993034,"","GuideToPharmacology","COMPOUND 36 [PMID: 32429662]|iuphar.ligand:11083"
"BLK","FARNESYL DIPHOSPHATE","drugbank:DB07780",0.248589516947074,"","GuideToPharmacology","FARNESYL DIPHOSPHATE|drugbank:DB07780"
"BLK","DIMETHYLALLYL DIPHOSPHATE","iuphar.ligand:3049",1.24294758473537,"","GuideToPharmacology","DIMETHYLALLYL DIPHOSPHATE|iuphar.ligand:3049"
"BLK","GW441756X","chembl:CHEMBL1516890",0.0191222705343903,"","DTC","GW441756X|chembl:CHEMBL1516890"
"BLK","GEFITINIB","rxcui:328134",0.0185514564885876,"","DTC","GEFITINIB|rxcui:328134"
"BLK","ALISERTIB","ncit:C71717",0.0258947413486535,"","DTC","ALISERTIB|ncit:C71717"
