"gene","drug","drug_concept_id","interaction_score","interaction_types","sources","key"
"CALR","PEGINTERFERON ALFA-2A","rxcui:120608",0.225016373098645,"","CIViC","PEGINTERFERON ALFA-2A|rxcui:120608"
"CALR","ANGIOGENESIS INHIBITOR","ncit:C1742",1.08757913664345,"","NCI","ANGIOGENESIS INHIBITOR|ncit:C1742"
"CALR","OLTIPRAZ","ncit:C1177",3.26273740993034,"","NCI","OLTIPRAZ|ncit:C1177"
"CALR","VACCINIA VACCINE","ncit:C2313",13.0509496397214,"","NCI","VACCINIA VACCINE|ncit:C2313"
"CALR","GENTAMICIN","rxcui:1596450",0.567432593031365,"","NCI","GENTAMICIN|rxcui:1596450"
"CALR","THERAPEUTIC GLUCOCORTICOID","ncit:C521",0.575777189987708,"","NCI","THERAPEUTIC GLUCOCORTICOID|ncit:C521"
"CALR","RETINOIC ACID AGENT","ncit:C804",0.420998375474883,"","NCI","RETINOIC ACID AGENT|ncit:C804"
"FGF12","COMPOUND 20 [PMID: 30998356]","iuphar.ligand:10371",2.9002110310492,"","GuideToPharmacology","COMPOUND 20 [PMID: 30998356]|iuphar.ligand:10371"
"FGF12","CERITINIB","rxcui:1535457",1.53540583996722,"","GuideToPharmacology","CERITINIB|rxcui:1535457"
"GIP","SI-10","iuphar.ligand:13308",52.2037985588855,"","GuideToPharmacology","SI-10|iuphar.ligand:13308"
"FDPS","MINODRONIC ACID","drugbank:DB06548",2.1751582732869,"","TdgClinicalTrial;TTD","MINODRONIC ACID|drugbank:DB06548"
"FDPS","IBANDRONATE","rxcui:115264",3.26273740993034,"","TdgClinicalTrial;TEND;TTD","IBANDRONATE|rxcui:115264"
"FDPS","RIBOPRINE","rxcui:1376156",6.52547481986069,"","DTC","RIBOPRINE|rxcui:1376156"
"FDPS","ETIDRONIC ACID","rxcui:1356715",0.233052672137882,"","TALC","ETIDRONIC ACID|rxcui:1356715"
"FDPS","ZOLEDRONIC ACID ANHYDROUS","rxcui:1546014",1.52261079130083,"","ChEMBL;PharmGKB;TALC;TdgClinicalTrial;TEND;TTD","ZOLEDRONIC ACID ANHYDROUS|rxcui:1546014"
"FDPS","TIPIFARNIB","hemonc:496",3.26273740993034,"","TTD","TIPIFARNIB|hemonc:496"
"FDPS","IBANDRONATE SODIUM","rxcui:236916",3.26273740993034,"","ChEMBL","IBANDRONATE SODIUM|rxcui:236916"
"FDPS","RISEDRONIC ACID","rxcui:55685",3.91528489191641,"","DTC;TdgClinicalTrial;TEND;TTD","RISEDRONIC ACID|rxcui:55685"
"FDPS","APLITHIANINE A","iuphar.ligand:13089",0.652547481986069,"","GuideToPharmacology","APLITHIANINE A|iuphar.ligand:13089"
"FDPS","INCADRONIC ACID","ncit:C65906",1.63136870496517,"","TTD","INCADRONIC ACID|ncit:C65906"
"FDPS","NERIDRONIC ACID","ncit:C66230",3.26273740993034,"","TTD","NERIDRONIC ACID|ncit:C66230"
"FDPS","RISEDRONATE SODIUM ANHYDROUS","rxcui:1926958",3.26273740993034,"","ChEMBL","RISEDRONATE SODIUM ANHYDROUS|rxcui:1926958"
"FDPS","PAMIDRONATE DISODIUM","rxcui:105443",1.63136870496517,"","ChEMBL","PAMIDRONATE DISODIUM|rxcui:105443"
"FDPS","PAMIDRONATE","rxcui:11473",0.889837475435549,"","TdgClinicalTrial;TEND;TTD","PAMIDRONATE|rxcui:11473"
"FDPS","ALENDRONATE SODIUM","rxcui:203152",1.35947392080431,"","ChEMBL;TALC;TdgClinicalTrial;TEND;TTD","ALENDRONATE SODIUM|rxcui:203152"
"FDPS","MINODRONIC ACID","ncit:C81673",3.26273740993034,"","ChEMBL","MINODRONIC ACID|ncit:C81673"
"CD38","ISATUXIMAB","rxcui:2282018",23.2016882483936,"","ChEMBL;PharmGKB;TdgClinicalTrial;TTD","ISATUXIMAB|rxcui:2282018"
"CD38","AMILORIDE","rxcui:644",0.341201297770494,"","GuideToPharmacology","AMILORIDE|rxcui:644"
"CD38","MEZAGITAMAB","ncit:C148078",5.80042206209839,"","ChEMBL","MEZAGITAMAB|ncit:C148078"
"CD38","FELZARTAMAB","ncit:C97954",5.80042206209839,"","ChEMBL","FELZARTAMAB|ncit:C97954"
"CD38","ANTI-CD38 CAR T CELLS PREPARATION","ncit:C201510",5.80042206209839,"","TTD","ANTI-CD38 CAR T CELLS PREPARATION|ncit:C201510"
"CD38","THROMBIN","rxcui:10528",0.483368505174866,"","NCI","THROMBIN|rxcui:10528"
"CD38","HUMAX-IL15","chembl:CHEMBL2109468",5.80042206209839,"","ChEMBL","HUMAX-IL15|chembl:CHEMBL2109468"
"CD38","DARATUMUMAB","rxcui:1721947",8.70063309314759,"","ChEMBL;TdgClinicalTrial;TTD","DARATUMUMAB|rxcui:1721947"
"CD38","FELZARTAMAB","iuphar.ligand:13455",5.80042206209839,"","TTD","FELZARTAMAB|iuphar.ligand:13455"
"CRYZ","2'-HYDROXYCHALCONE","chembl:CHEMBL32147",17.4012661862952,"","DTC","2'-HYDROXYCHALCONE|chembl:CHEMBL32147"
"HSD17B10","TRIAMTERENE","rxcui:10763",0.00702230273861791,"","DTC","TRIAMTERENE|rxcui:10763"
"HSD17B10","CHEMBL:CHEMBL336095","chembl:CHEMBL336095",0.0158001811618903,"","DTC","CHEMBL:CHEMBL336095|chembl:CHEMBL336095"
"HSD17B10","PADIMATE-O","rxcui:32786",0.126401449295122,"","DTC","PADIMATE-O|rxcui:32786"
"HSD17B10","RHEIN","drugbank:DB13174",0.00574552042250556,"","DTC","RHEIN|drugbank:DB13174"
"HSD17B10","MESALAMINE","rxcui:52582",0.00574552042250556,"","DTC","MESALAMINE|rxcui:52582"
"HSD17B10","TYRPHOSTIN AG 835","drugbank:DB16763",0.0114910408450111,"","DTC","TYRPHOSTIN AG 835|drugbank:DB16763"
"HSD17B10","BOLDINE","chembl:CHEMBL388342",0.0316003623237806,"","DTC","BOLDINE|chembl:CHEMBL388342"
"HSD17B10","NMDA","iuphar.ligand:4268",0.0140446054772358,"","DTC","NMDA|iuphar.ligand:4268"
"HSD17B10","MANGOSTIN","rxcui:2619910",0.0126401449295122,"","DTC","MANGOSTIN|rxcui:2619910"
